clave,nombre,descripcion,palabrasClave
1,Servicio de Tutorías,"Ofrecemos tutorías personalizadas para estudiantes de todas las edades y niveles académicos. Nuestros tutores altamente capacitados brindan apoyo en una amplia gama de materias.","tutorías,apoyo académico,educación individualizada"
2,Club de Debate,"¡Únete a nuestro club de debate y mejora tus habilidades de comunicación y argumentación! Nuestro club ofrece oportunidades emocionantes para participar en debates competitivos y desarrollar tu pensamiento crítico.","debate,oratoria,argumentación,clubes escolares"
3,Programa de Orientación Vocacional,"Nuestro programa de orientación vocacional ayuda a los estudiantes a explorar sus intereses, habilidades y opciones profesionales. Proporcionamos asesoramiento personalizado y recursos para tomar decisiones informadas sobre su futuro.","orientación vocacional,carrera profesional,asesoramiento estudiantil"
4,Clases de Arte,"¡Desata tu creatividad con nuestras clases de arte! Nuestros instructores expertos guiarán a los estudiantes a través de una variedad de técnicas artísticas, desde pintura y dibujo hasta escultura y arte digital.","arte,creatividad,clases extraescolares"
5,Programa de Tutorías de Matemáticas,"¿Necesitas ayuda con las matemáticas? Nuestro programa de tutorías está diseñado para fortalecer las habilidades matemáticas de los estudiantes y mejorar su confianza en la materia.","matemáticas,tutorías,ayuda académica"
6,Equipo de Ajedrez,"¡Únete a nuestro equipo de ajedrez y mejora tus habilidades estratégicas mientras te diviertes compitiendo! Aceptamos jugadores de todos los niveles, desde principiantes hasta maestros.","ajedrez,estrategia,juegos de mesa,clubes escolares"
7,Club de Robótica,"Explora el emocionante mundo de la robótica con nuestro club. Desde construir robots simples hasta participar en competiciones regionales, nuestro club ofrece una experiencia práctica y educativa.","robótica,tecnología,programación,clubes escolares"
8,Programa de Mentoría Estudiantil,"Nuestro programa de mentoría empareja a estudiantes mayores con alumnos más jóvenes para proporcionar orientación académica y apoyo personal. Fomentamos el crecimiento personal y la construcción de relaciones significativas.","mentoría,apoyo estudiantil,relaciones intergeneracionales"
9,Club de Teatro,"¡Súbete al escenario con nuestro club de teatro! Desde actuar hasta trabajar detrás de bambalinas, nuestro club ofrece oportunidades para explorar el mundo del teatro y desarrollar habilidades artísticas.","teatro,actuación,producción teatral,clubes escolares"
10,Clases de Idiomas,"Aprende un nuevo idioma con nuestras clases de idiomas. Ofrecemos instrucción en una variedad de idiomas, incluyendo inglés, francés, español y más, para estudiantes de todos los niveles.","idiomas,aprendizaje de idiomas,clases extraescolares"
